product_id,product_family,product_department,product_category,product_subcategory,brand_name,product_name
92,Food,Frozen Foods,Pizza,Pizza,Golden,Golden Frozen Cheese Pizza
93,Food,Frozen Foods,Pizza,Pizza,Golden,Golden Frozen Mushroom Pizza
94,Food,Frozen Foods,Breakfast Foods,Waffles,Golden,Golden Apple Cinnamon Waffles
95,Food,Frozen Foods,Vegetables,Frozen Vegetables,Golden,Golden Frozen Carrots
96,Food,Frozen Foods,Frozen Entrees,TV Dinner,Golden,Golden Turkey TV Dinner
97,Food,Frozen Foods,Frozen Entrees,TV Dinner,Golden,Golden Chicken TV Dinner
98,Food,Frozen Foods,Frozen Entrees,TV Dinner,Golden,Golden Beef TV Dinner
99,Food,Frozen Foods,Breakfast Foods,Pancake Mix,Golden,Golden Pancake Mix
100,Food,Frozen Foods,Frozen Desserts,Popsicles,Golden,Golden Grape Popsicles
101,Food,Frozen Foods,Vegetables,French Fries,Golden,Golden Home Style French Fries
102,Food,Frozen Foods,Frozen Desserts,Popsicles,Golden,Golden Lime Popsicles
103,Food,Frozen Foods,Frozen Desserts,Ice Cream,Golden,Golden Ice Cream
104,Food,Frozen Foods,Frozen Desserts,Ice Cream,Golden,Golden Ice Cream Sandwich
105,Food,Frozen Foods,Vegetables,Frozen Vegetables,Golden,Golden Frozen Cauliflower
106,Food,Frozen Foods,Vegetables,Frozen Vegetables,Golden,Golden Frozen Broccoli
107,Food,Frozen Foods,Vegetables,Frozen Vegetables,Golden,Golden Frozen Corn
108,Food,Frozen Foods,Vegetables,Frozen Vegetables,Golden,Golden Frozen Peas
109,Food,Frozen Foods,Frozen Desserts,Ice Cream,Golden,Golden Popsicles
110,Food,Frozen Foods,Meat,Frozen Chicken,Golden,Golden Frozen Chicken Thighs
111,Food,Frozen Foods,Meat,Frozen Chicken,Golden,Golden Frozen Chicken Wings
112,Food,Frozen Foods,Frozen Desserts,Popsicles,Golden,Golden Lemon Popsicles
113,Non-Consumable,Health and Hygiene,Bathroom Products,Conditioner,Faux Products,Faux Products Silky Smooth Hair Conditioner
114,Non-Consumable,Health and Hygiene,Hygiene,Personal Hygiene,Faux Products,Faux Products Tartar Control Toothpaste
115,Non-Consumable,Health and Hygiene,Hygiene,Personal Hygiene,Faux Products,Faux Products Whitening Toothpast
116,Non-Consumable,Health and Hygiene,Hygiene,Personal Hygiene,Faux Products,Faux Products Toothpaste
117,Non-Consumable,Health and Hygiene,Hygiene,Personal Hygiene,Faux Products,Faux Products Deodorant
118,Non-Consumable,Health and Hygiene,Bathroom Products,Shampoo,Faux Products,Faux Products Conditioning Shampoo
119,Non-Consumable,Health and Hygiene,Bathroom Products,Shampoo,Faux Products,Faux Products Extra Moisture Shampoo
120,Non-Consumable,Health and Hygiene,Bathroom Products,Toothbrushes,Faux Products,Faux Products Angled Toothbrush
121,Non-Consumable,Health and Hygiene,Bathroom Products,Shampoo,Faux Products,Faux Products Apricot Shampoo
122,Non-Consumable,Health and Hygiene,Pain Relievers,Aspirin,Faux Products,Faux Products Childrens Aspirin
123,Non-Consumable,Health and Hygiene,Pain Relievers,Aspirin,Faux Products,Faux Products Buffered Aspirin
124,Non-Consumable,Health and Hygiene,Pain Relievers,Ibuprofen,Faux Products,Faux Products 200 MG Ibuprofen
125,Non-Consumable,Health and Hygiene,Pain Relievers,Acetominifen,Faux Products,Faux Products 200 MG Acetominifen
126,Non-Consumable,Health and Hygiene,Decongestants,Nasal Sprays,Faux Products,Faux Products HCL Nasal Spray
127,Non-Consumable,Health and Hygiene,Decongestants,Nasal Sprays,Faux Products,Faux Products Dishwasher Detergent
128,Non-Consumable,Health and Hygiene,Cold Remedies,Cold Remedies,Faux Products,Faux Products Multi-Symptom Cold Remedy
129,Non-Consumable,Health and Hygiene,Cold Remedies,Cold Remedies,Faux Products,Faux Products Childrens Cold Remedy
130,Non-Consumable,Health and Hygiene,Bathroom Products,Mouthwash,Faux Products,Faux Products Laundry Detergent
131,Non-Consumable,Health and Hygiene,Bathroom Products,Mouthwash,Faux Products,Faux Products Mint Mouthwash
132,Non-Consumable,Household,Electrical,Lightbulbs,Denny,Denny 60 Watt Lightbulb
133,Non-Consumable,Household,Plastic Products,Plastic Utensils,Denny,Denny Plastic Forks
134,Non-Consumable,Household,Plastic Products,Plastic Utensils,Denny,Denny Plastic Spoons
135,Non-Consumable,Household,Plastic Products,Plastic Utensils,Denny,Denny Plastic Knives
136,Non-Consumable,Household,Electrical,Batteries,Denny,Denny C-Size Batteries
137,Non-Consumable,Household,Electrical,Lightbulbs,Denny,Denny 100 Watt Lightbulb
138,Non-Consumable,Household,Electrical,Batteries,Denny,Denny AAA-Size Batteries
139,Non-Consumable,Household,Paper Products,Paper Dishes,Denny,Denny Paper Plates
140,Non-Consumable,Household,Paper Products,Paper Dishes,Denny,Denny Paper Cups
141,Non-Consumable,Household,Electrical,Lightbulbs,Denny,Denny 75 Watt Lightbulb
142,Non-Consumable,Household,Cleaning Supplies,Cleaners,Denny,Denny Toilet Bowl Cleaner
143,Non-Consumable,Household,Cleaning Supplies,Cleaners,Denny,Denny Counter Cleaner
144,Non-Consumable,Household,Cleaning Supplies,Cleaners,Denny,Denny Glass Cleaner
145,Non-Consumable,Household,Electrical,Lightbulbs,Denny,Denny 25 Watt Lightbulb
146,Non-Consumable,Household,Electrical,Batteries,Denny,Denny AA-Size Batteries
147,Non-Consumable,Household,Electrical,Batteries,Denny,Denny D-Size Batteries
148,Non-Consumable,Household,Paper Products,Paper Wipes,Denny,Denny Paper Towels
149,Non-Consumable,Household,Paper Products,Paper Wipes,Denny,Denny Soft Napkins
150,Non-Consumable,Household,Paper Products,Paper Wipes,Denny,Denny Scented Tissue
151,Non-Consumable,Household,Paper Products,Paper Wipes,Denny,Denny Toilet Paper
152,Non-Consumable,Household,Paper Products,Paper Wipes,Denny,Denny Tissues
153,Non-Consumable,Household,Paper Products,Paper Wipes,Denny,Denny Scented Toilet Tissue
154,Non-Consumable,Household,Cleaning Supplies,Deodorizers,Denny,Denny Room Freshener
155,Non-Consumable,Household,Kitchen Products,Pots and Pans,Denny,Denny Frying Pan
156,Non-Consumable,Household,Kitchen Products,Pot Cleaners,Denny,Denny Copper Cleaner
157,Non-Consumable,Household,Candles,Candles,Denny,Denny Bees Wax Candles
158,Non-Consumable,Household,Kitchen Products,Pot Cleaners,Denny,Denny Silver Cleaner
159,Non-Consumable,Household,Kitchen Products,Pot Scrubbers,Denny,Denny Copper Pot Scrubber
160,Non-Consumable,Household,Bathroom Products,Toilet Brushes,Denny,Denny Economy Toilet Brush
161,Non-Consumable,Household,Hardware,Tools,Denny,Denny Scissors
162,Non-Consumable,Household,Kitchen Products,Sponges,Denny,Denny Large Sponge
163,Non-Consumable,Household,Hardware,Tools,Denny,Denny Screw Driver
164,Food,Meat,Meat,Hamburger,Ship Shape,Ship Shape Extra Lean Hamburger
165,Food,Meat,Meat,Hamburger,Ship Shape,Ship Shape Seasoned Hamburger
166,Non-Consumable,Periodicals,Magazines,Sports Magazines,Robust,Robust Monthly Sports Magazine
167,Non-Consumable,Periodicals,Magazines,Auto Magazines,Robust,Robust Monthly Auto Magazine
168,Non-Consumable,Periodicals,Magazines,Computer Magazines,Robust,Robust Monthly Computer Magazine
169,Non-Consumable,Periodicals,Magazines,Home Magazines,Robust,Robust Monthly Home Magazine
170,Non-Consumable,Periodicals,Magazines,Fashion Magazines,Robust,Robust Monthly Fashion Magazine
171,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Summer Squash
172,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Corn on the Cob
173,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Asparagus
174,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Sweet Peas
175,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top New Potatos
176,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Beets
177,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Prepared Salad
178,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Onions
179,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Green Pepper
180,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Shitake Mushrooms
181,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Lettuce
182,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Elephant Garlic
183,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Red Pepper
184,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Garlic
185,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Potatos
186,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Cauliflower
187,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Tomatos
188,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Mushrooms
189,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Baby Onion
190,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Dried Mushrooms
191,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Fresh Lima Beans
192,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Squash
193,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Limes
194,Food,Produce,Packaged Vegetables,Tofu,High Top,High Top Firm Tofu
195,Food,Produce,Specialty,Nuts,High Top,High Top Almonds
196,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Macintosh Apples
197,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Golden Delcious Apples
198,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Red Delcious Apples
199,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Lemons
200,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Fancy Plums
201,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Plums
202,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Peaches
203,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Broccoli
204,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Mandarin Oranges
205,Food,Produce,Specialty,Nuts,High Top,High Top Mixed Nuts
206,Food,Produce,Specialty,Nuts,High Top,High Top Canned Peanuts
207,Food,Produce,Vegetables,Fresh Vegetables,High Top,High Top Sweet Onion
208,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Cantelope
209,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Honey Dew
210,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Fuji Apples
211,Food,Produce,Specialty,Nuts,High Top,High Top Walnuts
212,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Oranges
213,Food,Produce,Fruit,Fresh Fruit,High Top,High Top Tangerines
214,Food,Produce,Specialty,Nuts,High Top,High Top Party Nuts
215,Food,Seafood,Seafood,Fresh Fish,Tip Top,Tip Top Lox
216,Food,Seafood,Seafood,Shellfish,Tip Top,Tip Top Scallops
217,Food,Snack Foods,Snack Foods,Cookies,Best Choice,Best Choice Low Fat Cookies
218,Food,Snack Foods,Snack Foods,Chips,Best Choice,Best Choice BBQ Potato Chips
219,Food,Snack Foods,Snack Foods,Chips,Best Choice,Best Choice Corn Chips
220,Food,Snack Foods,Snack Foods,Chips,Best Choice,Best Choice Low Fat BBQ Chips
221,Food,Snack Foods,Snack Foods,Cookies,Best Choice,Best Choice Sugar Cookies
222,Food,Snack Foods,Snack Foods,Cookies,Best Choice,Best Choice Chocolate Chip Cookies
223,Food,Snack Foods,Snack Foods,Cookies,Best Choice,Best Choice Fudge Cookies
224,Food,Snack Foods,Snack Foods,Cookies,Best Choice,Best Choice Fudge Brownies
225,Food,Snack Foods,Snack Foods,Chips,Best Choice,Best Choice Potato Chips
226,Food,Snack Foods,Snack Foods,Cookies,Best Choice,Best Choice Lemon Cookies
227,Food,Snack Foods,Snack Foods,Cookies,Best Choice,Best Choice Graham Crackers
228,Food,Snack Foods,Snack Foods,Crackers,Best Choice,Best Choice Cheese Crackers
229,Food,Snack Foods,Snack Foods,Popcorn,Best Choice,Best Choice Buttered Popcorn
230,Food,Snack Foods,Snack Foods,Popcorn,Best Choice,Best Choice No Salt Popcorn
231,Food,Snack Foods,Snack Foods,Popcorn,Best Choice,Best Choice Low Fat Popcorn
232,Food,Snack Foods,Snack Foods,Dips,Best Choice,Best Choice Salsa Dip
233,Food,Snack Foods,Snack Foods,Dips,Best Choice,Best Choice Avocado Dip
234,Food,Snack Foods,Snack Foods,Pretzels,Best Choice,Best Choice Salted Pretzels
235,Food,Snack Foods,Snack Foods,Dips,Best Choice,Best Choice Cheese Dip
236,Food,Snack Foods,Snack Foods,Dips,Best Choice,Best Choice Fondue Mix
237,Food,Snack Foods,Snack Foods,Donuts,Best Choice,Best Choice Mini Donuts
238,Food,Snack Foods,Snack Foods,Dried Meat,Best Choice,Best Choice Beef Jerky
239,Food,Snack Foods,Snack Foods,Donuts,Best Choice,Best Choice Chocolate Donuts
240,Food,Snack Foods,Snack Foods,Chips,Best Choice,Best Choice Low Fat Chips
241,Food,Snack Foods,Snack Foods,Crackers,Best Choice,Best Choice Sesame Crackers
242,Food,Snack Foods,Snack Foods,Cookies,Best Choice,Best Choice Frosted Cookies
243,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Dried Apples
244,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Apple Fruit Roll
245,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Strawberry Fruit Roll
246,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Raspberry Fruit Roll
247,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Grape Fruit Roll
248,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Dried Dates
249,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Raisins
250,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Golden Raisins
251,Food,Snack Foods,Snack Foods,Dried Fruit,Best Choice,Best Choice Dried Apricots
252,Food,Snack Foods,Snack Foods,Donuts,Best Choice,Best Choice Frosted Donuts
253,Food,Snacks,Candy,Chocolate Candy,Choice,Choice Tasty Candy Bar
254,Food,Snacks,Candy,Chocolate Candy,Choice,Choice Mint Chocolate Bar
255,Food,Snacks,Candy,Chocolate Candy,Choice,Choice Malted Milk Balls
256,Food,Snacks,Candy,Chocolate Candy,Choice,Choice Semi-Sweet Chocolate Bar
257,Food,Snacks,Candy,Gum,Choice,Choice Bubble Gum
258,Food,Snacks,Candy,Hard Candy,Choice,Choice Spicy Mints
259,Food,Snacks,Candy,Hard Candy,Choice,Choice Mints
260,Food,Snacks,Candy,Chocolate Candy,Choice,Choice White Chocolate Bar
261,Food,Starchy Foods,Starchy Foods,Pasta,Medalist,Medalist Ravioli
262,Food,Starchy Foods,Starchy Foods,Pasta,Medalist,Medalist Manicotti
263,Food,Starchy Foods,Starchy Foods,Pasta,Medalist,Medalist Spaghetti
264,Food,Starchy Foods,Starchy Foods,Rice,Medalist,Medalist Thai Rice
265,Food,Starchy Foods,Starchy Foods,Rice,Medalist,Medalist Rice Medly
266,Drink,Alcoholic Beverages,Beer and Wine,Beer,Good,Good Imported Beer
267,Drink,Alcoholic Beverages,Beer and Wine,Wine,Good,Good Light Wine
268,Drink,Alcoholic Beverages,Beer and Wine,Wine,Good,Good Chardonnay Wine
269,Drink,Alcoholic Beverages,Beer and Wine,Wine,Good,Good Chablis Wine
270,Drink,Alcoholic Beverages,Beer and Wine,Wine,Good,Good Merlot Wine
271,Drink,Alcoholic Beverages,Beer and Wine,Wine,Good,Good Chardonnay
272,Drink,Alcoholic Beverages,Beer and Wine,Wine,Good,Good White Zinfandel Wine
273,Drink,Alcoholic Beverages,Beer and Wine,Beer,Good,Good Light Beer
274,Food,Baked Goods,Bread,Sliced Bread,Great,Great Pumpernickel Bread
275,Food,Baked Goods,Bread,Sliced Bread,Great,Great White Bread
276,Food,Baked Goods,Bread,Sliced Bread,Great,Great Rye Bread
277,Food,Baked Goods,Bread,Muffins,Great,Great English Muffins
278,Food,Baked Goods,Bread,Muffins,Great,Great Cranberry Muffins
279,Food,Baked Goods,Bread,Muffins,Great,Great Muffins
280,Food,Baked Goods,Bread,Bagels,Great,Great Bagels
281,Food,Baked Goods,Bread,Muffins,Great,Great Blueberry Muffins
282,Food,Baked Goods,Bread,Sliced Bread,Great,Great Wheat Bread
283,Food,Baking Goods,Baking Goods,Cooking Oil,Super,Super Sesame Oil
284,Food,Baking Goods,Jams and Jellies,Peanut Butter,Super,Super Chunky Peanut Butter
285,Drink,Beverages,Hot Beverages,Chocolate,Super,Super Hot Chocolate
286,Food,Baking Goods,Baking Goods,Sugar,Super,Super Brown Sugar
287,Food,Baking Goods,Baking Goods,Sugar,Super,Super White Sugar
288,Drink,Beverages,Hot Beverages,Coffee,Super,Super French Roast Coffee
289,Drink,Beverages,Hot Beverages,Coffee,Super,Super Decaf Coffee
290,Drink,Beverages,Hot Beverages,Coffee,Super,Super Regular Coffee
291,Food,Baking Goods,Baking Goods,Cooking Oil,Super,Super Vegetable Oil
292,Food,Baking Goods,Baking Goods,Cooking Oil,Super,Super Corn Oil
293,Food,Baking Goods,Baking Goods,Sauces,Super,Super Tomato Sauce
294,Food,Baking Goods,Baking Goods,Cooking Oil,Super,Super Canola Oil
295,Food,Baking Goods,Jams and Jellies,Preserves,Super,Super Grape Preserves
296,Drink,Beverages,Hot Beverages,Coffee,Super,Super Columbian Coffee
297,Food,Baking Goods,Jams and Jellies,Jelly,Super,Super Strawberry Jelly
298,Food,Baking Goods,Baking Goods,Spices,Super,Super Pepper
299,Food,Baking Goods,Jams and Jellies,Preserves,Super,Super Low Fat Apple Butter
300,Food,Baking Goods,Baking Goods,Spices,Super,Super Salt
301,Food,Baking Goods,Jams and Jellies,Preserves,Super,Super Apple Butter
302,Food,Baking Goods,Baking Goods,Spices,Super,Super Oregano
303,Food,Baking Goods,Jams and Jellies,Jelly,Super,Super Apple Jelly
304,Food,Baking Goods,Jams and Jellies,Jam,Super,Super Grape Jam
305,Food,Baking Goods,Jams and Jellies,Jam,Super,Super Apple Jam
306,Food,Baking Goods,Jams and Jellies,Jam,Super,Super Strawberry Jam
307,Food,Baking Goods,Jams and Jellies,Peanut Butter,Super,Super Creamy Peanut Butter
308,Food,Baking Goods,Jams and Jellies,Preserves,Super,Super Strawberry Preserves
309,Food,Baking Goods,Jams and Jellies,Peanut Butter,Super,Super Extra Chunky Peanut Butter
310,Food,Baking Goods,Jams and Jellies,Preserves,Super,Super Apple Preserves
311,Food,Baking Goods,Jams and Jellies,Jelly,Super,Super Grape Jelly
312,Drink,Beverages,Pure Juice Beverages,Juice,Excellent,Excellent Berry Juice
313,Drink,Beverages,Drinks,Flavored Drinks,Excellent,Excellent Mango Drink
314,Drink,Beverages,Drinks,Flavored Drinks,Excellent,Excellent Strawberry Drink
315,Drink,Beverages,Carbonated Beverages,Soda,Excellent,Excellent Cream Soda
316,Drink,Beverages,Carbonated Beverages,Soda,Excellent,Excellent Diet Soda
317,Drink,Beverages,Carbonated Beverages,Soda,Excellent,Excellent Cola
318,Drink,Beverages,Carbonated Beverages,Soda,Excellent,Excellent Diet Cola
319,Drink,Beverages,Pure Juice Beverages,Juice,Excellent,Excellent Orange Juice
320,Drink,Beverages,Pure Juice Beverages,Juice,Excellent,Excellent Cranberry Juice
321,Drink,Beverages,Pure Juice Beverages,Juice,Excellent,Excellent Apple Juice
322,Drink,Beverages,Drinks,Flavored Drinks,Excellent,Excellent Apple Drink
323,Food,Breakfast Foods,Breakfast Foods,Cereal,Best,Best Oatmeal
324,Food,Breakfast Foods,Breakfast Foods,Cereal,Best,Best Corn Puffs
325,Food,Breakfast Foods,Breakfast Foods,Cereal,Best,Best Wheat Puffs
326,Food,Breakfast Foods,Breakfast Foods,Cereal,Best,Best Grits
327,Food,Canned Foods,Vegetables,Canned Vegetables,Better,Better Canned Beets
328,Food,Canned Foods,Vegetables,Canned Vegetables,Better,Better Creamed Corn
329,Food,Canned Foods,Vegetables,Canned Vegetables,Better,Better Canned String Beans
330,Food,Canned Foods,Canned Soup,Soup,Better,Better Chicken Soup
331,Food,Canned Foods,Vegetables,Canned Vegetables,Better,Better Canned Yams
