time_id,the_year,quarter,month_of_year,day_of_month
435,1997,Q1,3,10
436,1997,Q1,3,11
437,1997,Q1,3,12
438,1997,Q1,3,13
439,1997,Q1,3,14
440,1997,Q1,3,15
441,1997,Q1,3,16
442,1997,Q1,3,17
443,1997,Q1,3,18
444,1997,Q1,3,19
445,1997,Q1,3,20
446,1997,Q1,3,21
447,1997,Q1,3,22
448,1997,Q1,3,23
449,1997,Q1,3,24
450,1997,Q1,3,25
451,1997,Q1,3,26
452,1997,Q1,3,27
453,1997,Q1,3,28
454,1997,Q1,3,29
455,1997,Q1,3,30
456,1997,Q1,3,31
457,1997,Q2,4,1
458,1997,Q2,4,2
459,1997,Q2,4,3
460,1997,Q2,4,4
461,1997,Q2,4,5
462,1997,Q2,4,6
463,1997,Q2,4,7
464,1997,Q2,4,8
465,1997,Q2,4,9
466,1997,Q2,4,10
467,1997,Q2,4,11
468,1997,Q2,4,12
469,1997,Q2,4,13
470,1997,Q2,4,14
471,1997,Q2,4,15
472,1997,Q2,4,16
473,1997,Q2,4,17
474,1997,Q2,4,18
475,1997,Q2,4,19
476,1997,Q2,4,20
477,1997,Q2,4,21
478,1997,Q2,4,22
479,1997,Q2,4,23
480,1997,Q2,4,24
481,1997,Q2,4,25
482,1997,Q2,4,26
483,1997,Q2,4,27
484,1997,Q2,4,28
485,1997,Q2,4,29
486,1997,Q2,4,30
487,1997,Q2,5,1
488,1997,Q2,5,2
489,1997,Q2,5,3
490,1997,Q2,5,4
491,1997,Q2,5,5
492,1997,Q2,5,6
493,1997,Q2,5,7
494,1997,Q2,5,8
495,1997,Q2,5,9
496,1997,Q2,5,10
497,1997,Q2,5,11
498,1997,Q2,5,12
499,1997,Q2,5,13
500,1997,Q2,5,14
501,1997,Q2,5,15
502,1997,Q2,5,16
503,1997,Q2,5,17
504,1997,Q2,5,18
505,1997,Q2,5,19
506,1997,Q2,5,20
507,1997,Q2,5,21
508,1997,Q2,5,22
509,1997,Q2,5,23
510,1997,Q2,5,24
511,1997,Q2,5,25
512,1997,Q2,5,26
513,1997,Q2,5,27
514,1997,Q2,5,28
515,1997,Q2,5,29
516,1997,Q2,5,30
517,1997,Q2,5,31
518,1997,Q2,6,1
519,1997,Q2,6,2
520,1997,Q2,6,3
521,1997,Q2,6,4
522,1997,Q2,6,5
523,1997,Q2,6,6
524,1997,Q2,6,7
525,1997,Q2,6,8
526,1997,Q2,6,9
527,1997,Q2,6,10
528,1997,Q2,6,11
529,1997,Q2,6,12
530,1997,Q2,6,13
531,1997,Q2,6,14
532,1997,Q2,6,15
533,1997,Q2,6,16
534,1997,Q2,6,17
535,1997,Q2,6,18
536,1997,Q2,6,19
537,1997,Q2,6,20
538,1997,Q2,6,21
539,1997,Q2,6,22
540,1997,Q2,6,23
541,1997,Q2,6,24
542,1997,Q2,6,25
543,1997,Q2,6,26
544,1997,Q2,6,27
545,1997,Q2,6,28
546,1997,Q2,6,29
547,1997,Q2,6,30
548,1997,Q3,7,1
549,1997,Q3,7,2
550,1997,Q3,7,3
551,1997,Q3,7,4
552,1997,Q3,7,5
553,1997,Q3,7,6
554,1997,Q3,7,7
555,1997,Q3,7,8
556,1997,Q3,7,9
557,1997,Q3,7,10
558,1997,Q3,7,11
559,1997,Q3,7,12
560,1997,Q3,7,13
561,1997,Q3,7,14
562,1997,Q3,7,15
563,1997,Q3,7,16
564,1997,Q3,7,17
565,1997,Q3,7,18
566,1997,Q3,7,19
567,1997,Q3,7,20
568,1997,Q3,7,21
569,1997,Q3,7,22
570,1997,Q3,7,23
571,1997,Q3,7,24
572,1997,Q3,7,25
573,1997,Q3,7,26
574,1997,Q3,7,27
575,1997,Q3,7,28
576,1997,Q3,7,29
577,1997,Q3,7,30
578,1997,Q3,7,31
579,1997,Q3,8,1
580,1997,Q3,8,2
581,1997,Q3,8,3
582,1997,Q3,8,4
583,1997,Q3,8,5
584,1997,Q3,8,6
585,1997,Q3,8,7
586,1997,Q3,8,8
587,1997,Q3,8,9
588,1997,Q3,8,10
589,1997,Q3,8,11
590,1997,Q3,8,12
591,1997,Q3,8,13
592,1997,Q3,8,14
593,1997,Q3,8,15
594,1997,Q3,8,16
595,1997,Q3,8,17
596,1997,Q3,8,18
597,1997,Q3,8,19
598,1997,Q3,8,20
599,1997,Q3,8,21
600,1997,Q3,8,22
601,1997,Q3,8,23
602,1997,Q3,8,24
603,1997,Q3,8,25
604,1997,Q3,8,26
605,1997,Q3,8,27
606,1997,Q3,8,28
607,1997,Q3,8,29
608,1997,Q3,8,30
609,1997,Q3,8,31
610,1997,Q3,9,1
611,1997,Q3,9,2
612,1997,Q3,9,3
613,1997,Q3,9,4
614,1997,Q3,9,5
615,1997,Q3,9,6
616,1997,Q3,9,7
617,1997,Q3,9,8
618,1997,Q3,9,9
619,1997,Q3,9,10
620,1997,Q3,9,11
621,1997,Q3,9,12
622,1997,Q3,9,13
623,1997,Q3,9,14
624,1997,Q3,9,15
625,1997,Q3,9,16
626,1997,Q3,9,17
627,1997,Q3,9,18
628,1997,Q3,9,19
629,1997,Q3,9,20
630,1997,Q3,9,21
631,1997,Q3,9,22
632,1997,Q3,9,23
633,1997,Q3,9,24
634,1997,Q3,9,25
635,1997,Q3,9,26
636,1997,Q3,9,27
637,1997,Q3,9,28
638,1997,Q3,9,29
639,1997,Q3,9,30
640,1997,Q4,10,1
641,1997,Q4,10,2
642,1997,Q4,10,3
643,1997,Q4,10,4
644,1997,Q4,10,5
645,1997,Q4,10,6
646,1997,Q4,10,7
647,1997,Q4,10,8
648,1997,Q4,10,9
649,1997,Q4,10,10
650,1997,Q4,10,11
651,1997,Q4,10,12
652,1997,Q4,10,13
653,1997,Q4,10,14
654,1997,Q4,10,15
655,1997,Q4,10,16
656,1997,Q4,10,17
657,1997,Q4,10,18
658,1997,Q4,10,19
659,1997,Q4,10,20
660,1997,Q4,10,21
661,1997,Q4,10,22
662,1997,Q4,10,23
663,1997,Q4,10,24
664,1997,Q4,10,25
665,1997,Q4,10,26
666,1997,Q4,10,27
667,1997,Q4,10,28
668,1997,Q4,10,29
669,1997,Q4,10,30
670,1997,Q4,10,31
671,1997,Q4,11,1
672,1997,Q4,11,2
673,1997,Q4,11,3
674,1997,Q4,11,4
675,1997,Q4,11,5
676,1997,Q4,11,6
677,1997,Q4,11,7
678,1997,Q4,11,8
679,1997,Q4,11,9
680,1997,Q4,11,10
681,1997,Q4,11,11
682,1997,Q4,11,12
683,1997,Q4,11,13
684,1997,Q4,11,14
685,1997,Q4,11,15
686,1997,Q4,11,16
687,1997,Q4,11,17
688,1997,Q4,11,18
689,1997,Q4,11,19
690,1997,Q4,11,20
691,1997,Q4,11,21
692,1997,Q4,11,22
693,1997,Q4,11,23
694,1997,Q4,11,24
695,1997,Q4,11,25
696,1997,Q4,11,26
697,1997,Q4,11,27
698,1997,Q4,11,28
699,1997,Q4,11,29
700,1997,Q4,11,30
701,1997,Q4,12,1
702,1997,Q4,12,2
703,1997,Q4,12,3
704,1997,Q4,12,4
705,1997,Q4,12,5
706,1997,Q4,12,6
707,1997,Q4,12,7
708,1997,Q4,12,8
709,1997,Q4,12,9
710,1997,Q4,12,10
711,1997,Q4,12,11
712,1997,Q4,12,12
713,1997,Q4,12,13
714,1997,Q4,12,14
715,1997,Q4,12,15
716,1997,Q4,12,16
717,1997,Q4,12,17
718,1997,Q4,12,18
719,1997,Q4,12,19
720,1997,Q4,12,20
721,1997,Q4,12,21
722,1997,Q4,12,22
723,1997,Q4,12,23
724,1997,Q4,12,24
725,1997,Q4,12,25
726,1997,Q4,12,26
727,1997,Q4,12,27
728,1997,Q4,12,28
729,1997,Q4,12,29
730,1997,Q4,12,30
731,1997,Q4,12,31
732,1998,Q1,1,1
733,1998,Q1,1,2
734,1998,Q1,1,3
735,1998,Q1,1,4
736,1998,Q1,1,5
737,1998,Q1,1,6
989,1998,Q3,9,15
990,1998,Q3,9,16
991,1998,Q3,9,17
992,1998,Q3,9,18
993,1998,Q3,9,19
994,1998,Q3,9,20
995,1998,Q3,9,21
996,1998,Q3,9,22
997,1998,Q3,9,23
998,1998,Q3,9,24
999,1998,Q3,9,25
1000,1998,Q3,9,26
1001,1998,Q3,9,27
1002,1998,Q3,9,28
1003,1998,Q3,9,29
1004,1998,Q3,9,30
1005,1998,Q4,10,1
1006,1998,Q4,10,2
1007,1998,Q4,10,3
1008,1998,Q4,10,4
1009,1998,Q4,10,5
1010,1998,Q4,10,6
1011,1998,Q4,10,7
1012,1998,Q4,10,8
1013,1998,Q4,10,9
1014,1998,Q4,10,10
1015,1998,Q4,10,11
1016,1998,Q4,10,12
1017,1998,Q4,10,13
1018,1998,Q4,10,14
1019,1998,Q4,10,15
1020,1998,Q4,10,16
1021,1998,Q4,10,17
1022,1998,Q4,10,18
1023,1998,Q4,10,19
1024,1998,Q4,10,20
1025,1998,Q4,10,21
1026,1998,Q4,10,22
1027,1998,Q4,10,23
1028,1998,Q4,10,24
1029,1998,Q4,10,25
1030,1998,Q4,10,26
1031,1998,Q4,10,27
1032,1998,Q4,10,28
1033,1998,Q4,10,29
1034,1998,Q4,10,30
1035,1998,Q4,10,31
1036,1998,Q4,11,1
1037,1998,Q4,11,2
1038,1998,Q4,11,3
1039,1998,Q4,11,4
1040,1998,Q4,11,5
1041,1998,Q4,11,6
1042,1998,Q4,11,7
1043,1998,Q4,11,8
1044,1998,Q4,11,9
1045,1998,Q4,11,10
1046,1998,Q4,11,11
1047,1998,Q4,11,12
1048,1998,Q4,11,13
1049,1998,Q4,11,14
1050,1998,Q4,11,15
1051,1998,Q4,11,16
1052,1998,Q4,11,17
1053,1998,Q4,11,18
1054,1998,Q4,11,19
1055,1998,Q4,11,20
1056,1998,Q4,11,21
1057,1998,Q4,11,22
1058,1998,Q4,11,23
1059,1998,Q4,11,24
1060,1998,Q4,11,25
1061,1998,Q4,11,26
1062,1998,Q4,11,27
1063,1998,Q4,11,28
1064,1998,Q4,11,29
1065,1998,Q4,11,30
1066,1998,Q4,12,1
1067,1998,Q4,12,2
1068,1998,Q4,12,3
1069,1998,Q4,12,4
1070,1998,Q4,12,5
1071,1998,Q4,12,6
1072,1998,Q4,12,7
1073,1998,Q4,12,8
1074,1998,Q4,12,9
1075,1998,Q4,12,10
1076,1998,Q4,12,11
1077,1998,Q4,12,12
1078,1998,Q4,12,13
1079,1998,Q4,12,14
1080,1998,Q4,12,15
1081,1998,Q4,12,16
1082,1998,Q4,12,17
1083,1998,Q4,12,18
1084,1998,Q4,12,19
1085,1998,Q4,12,20
1086,1998,Q4,12,21
1087,1998,Q4,12,22
1088,1998,Q4,12,23
1089,1998,Q4,12,24
1090,1998,Q4,12,25
1091,1998,Q4,12,26
1092,1998,Q4,12,27
1093,1998,Q4,12,28
1094,1998,Q4,12,29
1095,1998,Q4,12,30
1096,1998,Q4,12,31
